Clause,Topic
"Sponsor Support
The Borrower shall have caused the Sponsor to execute the Sponsor Support Agreement wherein the Sponsor undertakes (or, in the case of multiple Sponsors, the Sponsors jointly and severally undertake) to, inter alia, do the following in a form and manner satisfactory to the Rupee Lenders:
(i)	contribute funds by way of Equity Contribution (in due course and in line with the Banking Base Case) to meet the Base Equity and satisfy the requirements set forth in the Sponsor Support Agreement;
(ii)	in the event of any Cost Overrun, contribute the amounts by which the Project Costs exceed the Estimated Project Costs  (up to an amount equal to 25% (twenty five percent) of the Estimated Project Costs) for any reason in accordance with the Sponsor Support Agreement;
(iii)	in the event of any Cost Overrun beyond 25% (twenty five percent) of the Estimated Project Costs, contribute further amounts in accordance with the Sponsor Support Agreement to meet such excess Cost Overrun, such additional amounts to be brought in the Debt Equity Ratio of not more than 4:1; 
(iv)	ensure that (a) from the date of the Sponsor Support Agreement till the date on which 50% (fifty percent) of the Rupee Loans Facility (along with all interest and other amounts due under the Financing Documents on such date) has been repaid/paid in full (such date, the “NDU Settlement Date”), the Sponsor shall, subject to the terms of the Sponsor Support Agreement and the other Financing Documents, be the sole legal and beneficial owner of the Non-Disposal Assets (as such term is defined in the Sponsor Support Agreement) and (b) until the NDU Settlement Date, the Sponsor shall directly or indirectly, retain control (of the Board of Directors and shareholder voting power) of the Borrower and shall, at all times, retain majority of the voting power on the Board of Directors in a manner satisfactory to the Rupee Lenders; 
(v)	ensure that the Sponsor cover the shortfall in the repayment of Rupee Loans in the event of termination of the Concession Agreement during Construction Period for a event of default by the Concessionaire (as defined in the Concession Agreement) under the Concession Agreement; 
(vi)	in accordance with the Sponsor Support Agreement, ensure that the Sponsor makes necessary changes to the shareholder agreements (if any) to maintain compliance with the provisions of the Financing Documents; 
(vii)	ensure the Sponsor provides the DSCR Support as set forth in the Sponsor Support Agreement; and
(viii)	ensure the Sponsor satisfy all of its other obligations as set forth in the Sponsor Support Agreement.
Each of the obligations of the Sponsor specified above are independent of each other and without prejudice to and in addition to each other, and without prejudice to any other obligations undertaken or to be undertaken by the Sponsor under the Financing Documents. ",Legal
"Shareholders Agreement
The Borrower shall have caused the Sponsor to undertake that the Shareholders Agreement shall provide that, inter alia:
(i)	the Sponsor shall be liable for mobilizing the entire Base Equity for the Project; and
(ii)	the Sponsor shall retain management control over the Borrower as per Clause 4.2.16(iv) (Sponsor Support) above. 	",Informative
"Financing Documents and Security Documents
(i)	Each of the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date) shall have been executed by the respective parties thereto and shall have become (or, as the case may be, shall remain) effective and enforceable in accordance with their respective terms, and unless previously provided by the Borrower, copies thereof shall have been delivered to the Lenders’ Agent and the Rupee Lenders together with a certificate of the Borrower to the effect that each such Financing Document and Security Document (other than those expressly permitted by this Agreement to be executed at a later date) is true, correct and complete in all respects, and in full force and effect;
(ii)	The Borrower shall have obtained all necessary third party consents, waivers and other approvals required for the Project and for the execution, delivery, and enforcement of the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date); and
(iii)	The Borrower shall have provided evidence to satisfaction of the Lenders’ Agent and the Rupee Lenders of: (A) the fulfilment of the conditions precedent, if any, by each of the parties to the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date); and (B) the effectiveness of each of the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date). ",Security
"Preliminary and Pre-Operating Expenses Certificate
The Borrower shall have received a certificate from an independent and recognized firm of chartered accountants duly licensed to practice in India with respect to the audit of preliminary and pre-operating expenses incurred by the Borrower prior to the Financial Close",Financial
"Legal Proceedings, Events of Default or Material Adverse Effect
(i)	The Borrower shall have provided to the Lenders’ Agent and the Rupee Lenders, a certificate of an Authorised Officer of the Borrower confirming that: (a) there are no legal proceedings pending or threatened affecting the obligations of the Borrower or, to the best of the Borrower’s knowledge, of any other Material Project Participant under the Transaction Documents or Clearances required by Material Project Participants; and (b) there are no legal proceedings pending or threatened regarding the effectiveness or validity of any of the Clearances that have been obtained for the Project; 
(ii)	The Borrower shall certify that no event has occurred with respect to the Project, the Borrower or, to the best of the Borrower’s knowledge, the other Material Project Participants, which has or could have a Material Adverse Effect on the Borrower; 
(iii)	The Borrower shall certify that no event has occurred nor are there any breaches or delays of any nature whatsoever under any of the Project Documents which: (a) will delay the Scheduled Project Completion Date beyond the period specified in Article 12.4.3 of the Concession Agreement; or (b) will result in a Cost Overrun;
(iv)	The Borrower shall certify that the aggregate borrowings under the Financing Documents are within the borrowing powers of the Borrower under its constitutional documents and Applicable Law and not cause any limit binding on the Borrower in relation to such borrowings to be exceeded;
(v)	The Borrower shall certify that the Project and the Borrower are in compliance in all material respects with all Applicable Laws as in effect at the date of the certificate;
(vi)	The Borrower shall certify that it is in compliance with all provisions of the Transaction Documents; and
(vii)	The Borrower shall certify that the Material Project Participants have performed all of their respective obligations (required to be performed on the date of the certificate) in all respects under the Transaction Documents to which the Borrower is a party. ",Informative
"CONDITIONS PRECEDENT TO SECOND DRAWDOWN AND EACH SUBSEQUENT DRAWDOWN 
The obligation of any Rupee Lender to make any Disbursements (a) on the second Drawdown Date up to 25% (twenty five percent) of the amount of the Rupee Loans Facility under this Agreement and (b) on each subsequent Drawdown Date, shall be subject to fulfillment by the Borrower of all its obligations hereunder and further, that the Borrower shall, prior to such second Drawdown Date and each subsequent Drawdown Date, fulfill the following conditions in a manner satisfactory to the Lenders’ Agent/Rupee Lenders; provided that Clause 4.3.1 (Drawdown Notice), Clause 4.3.2 (Construction Progress Report), Clause 4.3.6 (Chartered Accountant’s Certification), Clause 4.3.8 (Requisite Permits, Authorizations and Consents) and Clause 4.3.9 (Equity Guarantee) shall not be conditions precedent to the Bank Guarantee Facility.",Blank
"Drawdown Notice
The Borrower shall have delivered to each Rupee Lender a duly completed Drawdown Notice (including details of the costs to be financed by the relevant Drawdown and confirmation that the costs financed by the prior Drawdowns have been met, with such costs (in each case) certified by the Lenders’ Independent Engineer). ",Technical
"Construction Progress Report
The Rupee Lenders shall have received from the Borrower and been satisfied with the Construction Progress Report as of the date of the Drawdown Notice confirmed by the Lenders’ Independent Engineer stating that construction of the Project is proceeding in accordance with the Project Construction Schedule, Banking Base Case and Construction Budget.",Technical
"No Material Adverse Effect
The Borrower shall have provided evidence that no event shall have occurred and be continuing with respect to the Project, the Borrower or any Contractor which constitutes or may reasonably be expected to constitute or cause a Material Adverse Effect.",Informative
"No Event of Default
The Borrower shall confirm that no Event of Default or Potential Event of Default has occurred and is continuing.",Informative
"Representations and Warranties
The Borrower shall have (i) provided a certificate issued by an Authorised Officer of the Borrower stating that all representations and warranties of the Borrower made in Article V shall be true, complete and correct in all respects where relevant, in each case, with the same force and effect as though each such representation and warranty were made in and as of the date of such certificate, (except for any representation and warranty which expressly related to an earlier date and is not surviving or is in respect of any Transaction Document which is no longer in effect) and (ii) ensured that the Sponsor has provided a certificate issued by an Authorized Officer of the Sponsor stating that all representations and warranties of the Sponsor made in relation to the Transaction Documents are true and correct in all respects with the same being in full force and effect as though such representations and warranties have been made on and as of the date of such certificate",Informative
"Chartered Accountant’s Certification
The Borrower shall have furnished to the Rupee Lenders, a certificate from an independent and recognized firm of chartered accountants in respect of (i) expenditure incurred in respect of the Project, (ii) the source from which the Borrower obtained monies to make payment in respect of such expenditure and (iii) the required Equity Contributions having been received by the Borrower.",Informative
"Requisite Permits, Authorizations and Consents
All permits, authorizations and consents required by the Borrower as on the date of a Drawdown Notice shall have been received by the Borrower and shall be in full force and effect.",Informative
"Equity Guarantee
The Security Trustee shall have received a copy of the Equity Guarantee, if applicable.",Financial
"REPRESENTATIONS AND WARRANTIES 
5.1	In consideration of each of the Rupee Lenders entering into this Agreement and the other Financing Documents, the Borrower makes the following representations and warranties.                                                          CORPORATE STATUS
5.2.1	The Borrower is a duly incorporated and validly existing corporation under the laws of India and has the corporate power to own its assets, conduct its business as presently conducted and to enter into, and perform its obligations under the Transaction Documents and to transact the business in which it is engaged or proposes to be engaged and to do all things necessary or appropriate in respect of the Project.",Informative
"The Borrower declares and confirms that the execution of the Financing Documents are duly authorised and upon execution by the Borrower will constitute valid, enforceable and legally binding obligations of the Borrower.",Informative
The Borrower has power and authority to consummate the transactions contemplated by this Agreement and the other Transaction Documents to which it is a party. ,Informative
"NO VIOLATION
The Borrower warrants that neither the execution nor the performance or delivery of this Agreement and the other Transaction Documents to which the Borrower is a party and neither the Borrower’s compliance with or performance of the terms and provisions hereof or thereof, nor the use of the proceeds of the Rupee Loans as contemplated herein, will:
(i)	contravene any provision of any Applicable Law or any order, writ, injunction, judgment or decree of any Court or Governmental Authority or other Governmental Authority binding on the Borrower; 
(ii)	conflict or be inconsistent with or result in a breach of any of the terms, covenants, conditions or provisions of, or constitute a default under or require any consent under any Clearance, indenture, agreement or other instrument to which the Borrower is a party or by which it is bound;
(iii)	result in the creation or imposition of or the obligation to create or impose any Security Interest upon any of the property or assets of the Borrower except for Permitted Security Interests; or
(iv)	violate any of the provisions of the Memorandum and Articles of Association of the Borrower. ",Informative
"CLEARANCES
5.4.1	The Borrower has, prior to or on the Agreement Date, obtained all Clearances required to be obtained under the Transaction Documents as of the Agreement Date and has complied with the conditions of such Clearances in connection with the execution, delivery and performance of this Agreement and the other Transaction Documents and the legality, validity, binding effect and enforceability hereof or thereof and no further Clearances or compliances are required in connection with the execution and delivery by the Borrower of any of the Transaction Documents to which the Borrower is a party or the legality, validity, binding effect or enforceability thereof.",Informative
The Borrower has obtained/caused to be obtained all Clearances as specified in Schedule IV and has complied with the conditions of such Clearances for the implementation of these except for those Clearances that are not required to be obtained or issued until a later stage in construction or operation of the Project and those conditions which are not required to be satisfied or met until a later stage in the construction and operation of the Project. ,Informative
"FINANCIAL CONDITION
5.5.1	The financial statements of the Borrower for every Financial Year since the date of its incorporation have been prepared in accordance with generally accepted Indian accounting principles consistently applied and present fairly the financial position of the Borrower at the date of such statements the result of the operations for the period covered thereby. No event, condition or circumstance (including without limitation an event of Force Majeure) has occurred which has had and continues to have or could reasonably be expected to constitute a Material Adverse Effect.",Informative
"Except as reflected in the financial statements of the Borrower since the date of its incorporation that have been delivered pursuant to sub-clause 5.5.1 (Financial Condition) hereinabove or as expressly disclosed otherwise to the Rupee Lenders in writing as ‘off-balance sheet liabilities’ or in any other written communication to the Rupee Lenders, there is no liability or obligation with respect to the Borrower of any nature whatsoever (whether absolute, contingent, accrued or otherwise and whether or not due) for the period to which such financial statements relate. ",Informative
"ANNUAL BUDGETS AND BANKING BASE CASE
All budgets and projections including the Banking Base Case furnished or to be furnished to the Rupee Lenders by or on behalf of the Borrower and the significant assumptions related thereto: (i) have been and will be prepared in good faith and with due care; (ii) fairly and accurately, and will fairly and accurately, present the matters stated therein; (iii) are based on and will be based on, reasonable assumptions as to all factual and other matters stated therein; (iv) are and will be in all respects consistent with the provisions of the Transaction Documents; (v) will present, in all respects, the Borrower’s expectations as to the matters covered thereby as of such date, and (vi) are prepared on a basis consistent with the financial statements referred to in this Agreement. There are no statements, assumptions or conclusions in any of the projections or budgets which are based upon or include information known to the Borrower to be misleading or which fail to take into account information regarding the matters reported therein. ",Informative
"LEGAL PROCEEDINGS AND MATERIAL ADVERSE EFFECT 
5.7.1	No actions, suits or proceedings are pending or to the knowledge of the Borrower threatened with respect to the Borrower, the Project or any Transaction Document or the transaction contemplated thereby or affecting any Clearance, which could have a Material Adverse Effect.
5.7.2	There are no proceedings for the winding-up or reorganization of the Borrower pending or to the knowledge of the Borrower threatened.
5.7.3	There has not been initiated, nor is there pending nor are there any threatened legal proceedings against the Borrower or, to the best of the Borrower’s knowledge, any other Material Project Participant having or likely to have a Material Adverse Effect. ",Informative
"TRUE AND COMPLETE DISCLOSURE
All factual information furnished by or on behalf of the Borrower to the Rupee Lenders in connection with the sanction of the Rupee Loans, whether prior to the Agreement Date or contemporaneously with the execution of this Agreement and all factual information hereafter furnished, is and will be true, correct and complete in all material respects as on the date on which such information is dated or certified.",Informative
"TAXES
The Borrower has paid all Taxes and other statutory dues required to be paid or which became due other than those, which have been waived or Contested in Good Faith and for which adequate reserves have been established. ",Financial
"TRANSACTION DOCUMENTS
5.10.1	All Transaction Documents have been and will be duly executed and all representations and warranties of the Borrower set forth therein are and will be true, complete and correct in all respects at the time as of which such representations and warranties are made or deemed to be made.",Informative
No event of default or potential event of default (howsoever described) has occurred or is continuing under any Transaction Document.,Informative
"The services to be performed, the materials to be supplied and the easements, licenses and other rights granted or to be granted to the Borrower pursuant to the terms of the Transaction Documents provide, or will provide the Borrower with all rights and property interests required to enable the Borrower to obtain all services, materials or rights (including access) required for the design, construction, operation and maintenance of the Project, including the Borrower's full and prompt performance of its obligations, and full and timely satisfaction of all conditions precedent to the performance by others of their obligations, under the Transaction Documents, other than those services, materials or rights that reasonably can be expected to be obtained in the ordinary course of business without any additional expense or any delay",Informative
"Each of the Transaction Documents constitutes the legal, valid and binding obligations enforceable by and against the Borrower in accordance with its terms. No fees or Taxes, including without limitation, stamp, transaction, registration or similar taxes, are required to be paid (other than fees or Taxes which have already been paid) for the legality, validity, or enforceability of the Project Documents. The Transaction Documents are in proper legal form and are in full force and effect for the enforcement thereof without any further action on the part of any party thereto or successor to such party by way of assignment or otherwise. ",Informative
"Capitalisation
(a)  	As on the Agreement Date,
(i)	the authorised capital of the Borrower consists of Rs. 20,00,00,000 (Rupees Twenty Crores Only) divided into 2,00,00,000 (Two Crores) Shares of Rs. 10 (Rupees Ten Only) each; 
(ii)	Rs. 9,09,14,000 (Rupees Nine Crore Nine Lakhs and Fourteen Thousand Only) divided into 90,91,400 (Ninety Lakhs and Ninety One Thousand Four Hundred) Shares of Rs. 10 (Rupees Ten Only) (and each of the Shares described in sub-clause (i) and this sub-clause (ii) have been issued by the Borrower); 
(iii)	90,83,099 (Ninety Lakhs and Eighty Three Thousand Ninety Nine) number of such Shares (representing 99.90% (Ninety Nine point Nine Zero percent) of such shares referred to in (ii) above) are owned by Sponsor; and 
(iv)	all the Shares are duly and validly issued and paid up. ",Informative
"The Borrower does not have outstanding:
(i)	any indebtedness except Permitted Indebtedness;
(ii)	any securities convertible into or exchangeable for the Shares other than as permitted under the Financing Documents; or
(iii)	any rights to subscribe for, or to purchase, or any options for the purchase of, or any agreements, arrangements or understandings providing for the issuance (contingent or otherwise) of, or any calls, commitments or claims of any character relating to, its Shares other than as permitted under the Financing Documents .",Informative
The Borrower has not issued any securities or instruments which are convertible into or exchangeable for Equity or any right to subscribe for or options for purchase of any Equity (other than as permitted under the Financing Documents).,Informative
"POWER OF ATTORNEY
Except as disclosed to, and, permitted by the Lenders’ Agent, the Borrower has not executed and delivered any powers of attorney or similar documents, instruments or agreements, except for those issued under the Security Documents and the powers authorizing signatures of the Transaction Documents. ",Legal
"CONCESSION AGREEMENT
5.13.1	The Concession Agreement is in full force and effect and no event of default has taken place there under. The Borrower is in compliance of its obligations under the Concession Agreement and has not committed any breach there under.
5.13.2	All action under Applicable Law has been taken to ensure that the Concession is binding and enforceable in accordance with the terms of the Concession Agreement to enable the Borrower to construct, operate and maintain the Project in accordance with the Concession Agreement.",Informative
"SUBSIDIARIES
The Borrower has no subsidiaries and owns no equity interests in any other Person. ",Financial
"SINGLE PURPOSE COMPANY
The Borrower has not engaged in any business or trade or incurred any liabilities other than in connection with participation in transactions contemplated by the Transaction Documents. ",Informative
"INSURANCE
All Insurance Contracts have been placed in the manner required by the Transaction Documents and as provided in Schedule V and are in full force and no event or circumstances has occurred nor has there been any omission to disclose a fact which would entitle any insurer to avoid or otherwise reduce its liability thereunder.",Informative
"SECURITY
5.17.1	The Borrower does not have any outstanding Security Interest or obligation to create any Security Interest on or with respect to any of its properties, revenues or assets, other than the Permitted Security Interests.
5.17.2	The Security Documents executed or to be executed constitute and will constitute legal, valid and enforceable Security Interests in favour of the Security Trustee on all the property, revenues and assets of the Borrower thereby secured, prior and superior to all other Security Interest and all necessary and appropriate consents to the creation, effectiveness, priority and enforcement of such Security have been or will be obtained.",Security
"MATERIAL CONTRACTS
	The Borrower has not entered into any material contracts other than those that have been disclosed in writing to the Rupee Lenders.",Legal
"COMPLIANCE WITH APPLICABLE LAW
The Borrower and all other Material Project Participants are in compliance in all respects with all Applicable Laws, governmental authorizations for the development, construction, ownership, operation and maintenance of the Project.",Informative
"UTILITY SERVICES
All utility services for the construction, operation and maintenance of the Project including as necessary but not limited to water supply, storm, sanitary, sewerage and electricity for the Project are or will be, when needed, available to the Project and arrangements in respect thereof have been made and when needed will be made in the ordinary course without delay.",Informative
"CONCESSIONS AND OTHER RIGHTS
The Borrower has all concessions, trademarks, trade names, brand names, service marks, copyrights, patents or agreements with respect to the usage of technology or other permits that are necessary for the ownership, operation or maintenance of the Project (other than such concessions, trademarks, trade names, brand names, service marks, copyrights, patents or agreements with respect to the usage of technology or permits, the lack of which could not reasonably be expected to cause a Material Adverse Effect) (i) without any conflict with the rights of any other Person and (ii) without any obligation to pay royalties or fees therefore in amounts in excess of those contemplated in the Project Documents.",Informative
"5.22	TITLE: SECURITY DOCUMENTS
(a)	The Borrower owns and has good and marketable title to its properties assets and revenues free and clear of all Security Interests other than Permitted Security Interests.
(b)	The Borrower is lawfully seized and possessed of valid and clear title to and in the property owned or used by it free and clear of all Security Interests other than Permitted Security Interests.
(c)	The provisions of the Security Documents are/ and will be effective to create in favour of the Rupee Lenders, in accordance with Applicable Law, a legal, valid and enforceable Security Interest on or in all of the properties and assets of the Borrower and all necessary and appropriate recordings and filings have been / will be made in all necessary and appropriate public offices, and all other necessary and appropriate action has been / will be taken, so that the Security Interest created in favour of the Rupee Lenders by each Security Document constitutes or will constitute a perfected first ranking pari passu charge on and in all right, title and interest of the Borrower in and to the properties and assets of the Borrower, prior and superior to all other Security Interests. ",Security
"NO CLAIM FROM THE CONSTRUCTION CONTRACTORS	
The Borrower confirms that it has not received any communication from the Construction Contractors claiming or demanding additional costs, charges or monies under any head whatsoever under the Construction Contracts.",Informative
"RELIANCE
The Borrower warrants that each of the representations in Article 5 (Representations and Warranties) are true and correct in all respects as of the Agreement Date and that none of them omit to state any matter which makes any of such representations misleading in any respect.",Informative
"PRIORITY
The Borrower’s obligations to the Rupee Lenders under this Agreement and the other Financing Documents will constitute its direct, unconditional, unsubordinated and secured obligation and will rank pari- passu inter se.",Informative
"NO INDEBTEDNESS
Except the Permitted Indebtedness, the Borrower has not / shall not incur or suffer any additional Debt. ",Informative
"NO IMMUNITY 
The execution and entering into by the Borrower of the Transaction Documents constitutes, and the Borrower’s exercise of its rights and performance of obligations under the Transaction Documents, will constitute a private commercial act done and performed for private and commercial purpose. The Borrower is not permitted under Applicable Law to claim any immunity from any contract, suit, or jurisdiction of any court, from attachment prior to judgment, from attachment in aid of execution of judgment. ",Informative
"SURVIVAL
The representations and warranties set out in this Article 5 (Representations and Warranties) are made by the Borrower on the Agreement Date and (other than those made as of a particular date) shall be deemed to be repeated by the Borrower on each Drawdown Date and Interest Payment Date with reference to the facts and circumstances then existing. ",Informative
"REGISTRATION AND FILING
Except for filing the Finance Documents with NHAI, filing and registration of the appropriate Security Documents relating to the creation of the mortgage with the Registrar / Sub-Registrar of Assurances, and filing of Forms for registration of charges under Section 125 of the Companies Act, 1956 in relation to the Security created, it is not required that any Transaction Documents be filed, registered, recorded or enrolled with any other Government Authority.",Security
"INSOLVENCY
The Borrower has not taken any corporate action and no other steps have been taken or legal proceedings have been started or received any notice for any legal proceedings against it for its winding-up, dissolution, administration or reorganisation or for the appointment of a receiver, administrator, administrative receiver, trustee or similar officer of it or of any or all of its assets or revenues. ",Informative
"NO DEFAULT
(a)	No default is outstanding or might result from any borrowing under this Agreement. 
(b)	To the best of the Borrower’s knowledge, no other event or circumstance is outstanding which constitutes a default, or with the giving of notice, lapse of time, determination of materiality or the fulfillment of any other applicable condition or any combination of the foregoing, might constitute a default, under any document which is binding on the Borrower or any asset of the Borrower or any Project Proceeds (other than Disbursements to be made by the Rupee Lenders) or other financial assistance from banks and financial institutions by way of working capital and cash credit.
(c)	The Borrower is not in breach of the terms of any Transaction Document to which it is a party that is likely to have a Material Adverse Effect.  ",Informative
"Default under Project Documents
(i)	In the event that the Borrower is entitled under the terms of any Project Document to terminate such Project Document as a consequence of any default under such Project Document by any other party thereto, the Borrower shall, if so required by the Lenders’ Agent, exercise its rights to terminate such Project Document. In exercising its rights to terminate any Project Document, the Borrower shall: (i) comply with the terms and provisions of each such document with respect to notice for termination, including providing all supporting documentation in the form and manner required by each document; and (ii) provide, concurrently with the notice to the defaulting party, notice to the Rupee Lenders of any such proposed termination, along with copies of the supporting documentation required to be submitted in connection with such notice for termination under each such document.
(ii)	The Borrower shall not exercise any right of termination or make any demand for payment under any Project Document as a consequence of any default under such Project Document by any other party thereto, unless the Borrower has given prior written notice within a period of seven (7) days from the date of default to the Rupee Lenders and exercise of such right or making of such demand shall be subject to the instructions, if any given by the Rupee Lenders to the Borrower. ",Informative
"6.1.2	Waiver of any Condition under the Project Documents
The Borrower shall, obtain the prior approval of the Rupee Lenders/Lenders’ Agent, before amending / granting any waiver or extension for fulfillment of any condition of any of the Project Documents by any contracting party thereto, whose approval may be granted subject to such terms and conditions as the Lenders’ Agent may deem fit.",Informative
"6.1.3	Resources and Investments
The Borrower covenants and agrees that it will procure from the Sponsor all resources and make all investments as may be required under and in accordance with the Financing Documents for implementation of the Project. ",Informative
"6.1.4	Good Industry Practice
The Borrower shall implement the Project and operate and maintain the Project in accordance with the Concession Agreement and in accordance with Good Industry Practice and sound administrative, financial, economic and business practice.  The Borrower shall replace or rebuild any part of the Project and/or associated equipment damaged or destroyed by any event (whether or not insured against), and shall inform the Rupee Lenders on occurrence of any material damage. No payments shall be made to any contractor in relation to the design and construction of the Project (and/or any other obligations of the Construction Contractors under the Construction Contract) unless such payments have been approved by the Lenders’ Independent Engineer in accordance with the procedure set forth in the Escrow Agreement and the Supplementary Escrow Agreement.",Informative
"6.1.5	Compliance with Applicable Law
The Borrower shall comply, in all respects, with all Applicable Law and Clearances.  ",Informative
"6.1.6	Notification from Governmental Authority
The Borrower shall share, as and when received, all notifications from any Governmental Authority in relation to the Project (including with respect to traffic flow etc.) with the Rupee Lenders and/or Lenders’ Agent during the entire tenure of the Rupee Loans. ",Informative
"6.1.7	End Use of Rupee Loans
In accordance with the terms of the Financing Documents, the Borrower shall use the Rupee Loans, the Performance Guarantee and the Equity Contribution solely to meet:
(i)	the Project Cost;
(ii)	any performance security requirements in accordance with the Concession Agreement;
(iii)	Interest payments on the Rupee Loans; 
(iv)	creation of the DSRA; and
(v)	Fees and other amounts payable under the Finance Documents.
Any expenditure required to be met out of the Contingency towards costs of actual construction of the Project shall be subject to certification by the Lenders’ Independent Engineer certifying such utilization. ",Informative
"6.1.8	Meetings of the Board and Shareholders
After the occurrence and during the continuance of an Event of Default, the Lenders’ Agent or the Rupee Lenders or the Security Trustee or the Nominee Director shall be entitled to attend and shall receive notice of the meetings of the Shareholders and the Board; provided, however, that nothing in this Agreement shall confer any voting rights on any such Person in their capacity as Lenders’ Agent or Security Trustee or Rupee Lender, attending, any such meeting. ",Informative
"6.1.9	Credit Rating
The Borrower shall get itself rated by a Credit Rating Agency no later than three (3) Months from the Initial Drawdown Date and thereafter at annual intervals. ",Informative
"6.1.10	Board of Directors
The Borrower shall submit to the Rupee Lenders the composition of its Board of Directors.  The Board shall meet at least every three (3) months.  ",Informative
"6.1.11	Operation and Maintenance
The Borrower shall make adequate arrangements at all times in relation to the operation and maintenance requirements of the Project.  ",Informative
"6.1.12	Tolling Strategy 
The Borrower shall finalize and submit to the Rupee Lenders, the tolling strategy for the Project, which shall be in accordance with the provisions of the Concession Agreement. ",Informative
"6.1.13	Nominee Director
(a)	The Borrower will take all action necessary to appoint a Nominee Director pursuant to Clause 10.3.4 (Consequences of an Event of Default) including amending its Memorandum and Articles of Association and passing the necessary board and shareholder resolutions. 
(b)	The Nominee Director shall not be required to hold qualification shares nor be liable to retire by rotation. 
(c)	Any expenditure incurred by the Rupee Lenders, and/ or the Nominee Director in connection with his appointment of directorship shall be borne and payable by the Borrower. 
(d)	Such Nominee Director shall be appointed a member of committees of the Board, if so desired by the Rupee Lenders. 
(e)	The Nominee Director shall be entitled to receive all notices, agenda, etc. and to attend all general meetings and board meetings and meetings of any committees of the Board of which he is a member. 
(f)	If, at any time, the Nominee Director is not able to attend a meeting of the Board of Directors or any of its committees of which he is a member, the Rupee Lenders may depute an observer (the “Observer”) to attend the meeting. The expenses incurred by the Rupee Lenders in this connection shall be borne and payable by the Borrower.
(g)	The Nominee Director/the Observer may furnish, if required by the Rupee Lenders/ Lenders’ Agent a report of the proceedings of all such meetings. 
(h)	The appointment/removal of the Nominee Director / Observer shall be by a notice in writing by the Lenders’ Agent addressed to the Borrower and shall (unless otherwise indicated by the Rupee Lenders) take effect forthwith upon such a notice being delivered to the Borrower. 
(i)	The Nominee Director shall be entitled to all the rights, privileges and indemnities of other Directors including the sitting fees and expenses as are payable by the Borrower to the other Directors, but if any other fees, commission, moneys or remuneration in any form are payable by the Borrower to the Directors in their capacity as Directors, the fees, commission, moneys and remuneration in relation to such Nominee Director shall accrue to the Rupee Lenders in proportion to their respective Rupee Loans then outstanding and the same shall accordingly be paid by the Borrower directly for the respective accounts of the Rupee Lenders; provided, that if such a Nominee Director is an officer of any of the Rupee Lenders the sitting fees in relation to such Nominee Director shall accrue to the relevant Rupee Lender and the same shall accordingly be paid by the Borrower directly to such Rupee Lender for its account. Any expenditure incurred by a Nominee Director or any Rupee Lender in connection with such appointment or directorship shall be borne by the Borrower. ",Informative
"6.1.14	Project Management Team and other Committees
The Borrower shall constitute a Project Management Team comprising of its senior executives for the purpose of supervising and monitoring the progress in the implementation of the Project.  The Project Management Team shall, inter alia¸ report to the directors and other senior executives of the Borrower. The Borrower shall also constitute an audit sub-committee of its directors and senior executives with such composition and functions as may be required by the Rupee Lenders.  The audit sub-committee shall be responsible for audit related matters for close monitoring of the Project. ",Informative
"6.1.15	Appointment of Technical and Financial Officials
The Borrower shall have appointed suitable technical, financial and executive personnel of proper qualification and experience for key posts and provided evidence satisfactory to the Lenders’ Agent that the organizational structure of the Borrower is adequate enough for smooth implementation and operation of the Project.  ",Informative
"6.1.16	Review of the Project and Project Costs
The Borrower agrees that the Rupee Lenders shall have the right to conduct one or more reviews of the Project and the Project Costs incurred or likely to be incurred (and the sources of financing available to the Borrower for the construction of the Project) at any time during the Availability Period. The Borrower agrees that if, as a result of such review the Rupee Lenders determine that the Borrower (i) has implemented / is likely to implement the Project in a manner such that Project Costs exceed the Estimated Project Costs by more than 25% (twenty five percent) and/or (ii) the Borrower has not commenced / nor is likely to commence commercial operation of the Project by the Scheduled Project Completion Date or such later date as may be permitted by the Rupee Lenders and such delay is likely to affect the Borrower’s ability to repay the Outstanding Dues of the Rupee Lenders, then the Rupee Lenders shall have the right to revise the Repayment Schedule and stipulate such additional conditions as the Rupee Lenders may, in their absolute discretion, deem fit and to require the Borrower to take such other measures as may be stipulated by the Rupee Lenders in light of the revision in Estimated Project Costs / Financing Plan / COD. All such conditions shall be final and binding on the Borrower and the Borrower shall comply with the same.  Unless otherwise agreed to by the Rupee Lenders, the Facilities would continue to be repayable on demand until the Borrower complies with the stipulated terms and conditions to the satisfaction of the Rupee Lenders and commences commercial operation of the Project to the satisfaction of the Rupee Lenders. Upon such compliance of the conditions and the commencement of commercial operation of the Project, the Borrower shall repay the Facilities in accordance with such repayment schedule as may be stipulated by the Rupee Lenders, which shall be final and binding on the Borrower.",Financial
"6.1.17	Diligence Certification. 
The Borrower shall, at least on a quarterly basis, provide a certification as per Annexure II, as certified either by an independent professional or company secretary. ",Informative
