Document Name,Clause No.,Clause from Loan Agreement,Notes (not a tag),Tag 1: Applicability,Tag 2: Area,Tag 3: Covenant Type,Tag 4: Covenant Title Tag,Tag 5: Covenant Description/ Sub tags,Tag 6: User Defined(256 characters only),Backup Document,Compliance Frequency,Start Date,Submission Period,End Date,Threshold,Priority,Event
Common Rupee Loan Agreement,4.2.18,"Financing Documents and Security Documents
(i)	Each of the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date) shall have been executed by the respective parties thereto and shall have become (or, as the case may be, shall remain) effective and enforceable in accordance with their respective terms, and unless previously provided by the Borrower, copies thereof shall have been delivered to the Lenders’ Agent and the Rupee Lenders together with a certificate of the Borrower to the effect that each such Financing Document and Security Document (other than those expressly permitted by this Agreement to be executed at a later date) is true, correct and complete in all respects, and in full force and effect;
(ii)	The Borrower shall have obtained all necessary third party consents, waivers and other approvals required for the Project and for the execution, delivery, and enforcement of the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date); and
(iii)	The Borrower shall have provided evidence to satisfaction of the Lenders’ Agent and the Rupee Lenders of: (A) the fulfilment of the conditions precedent, if any, by each of the parties to the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date); and (B) the effectiveness of each of the Financing Documents and the Security Documents (other than those expressly permitted by this Agreement to be executed at a later date). ",,Pre-Disbursement (CP),Security,Non Financial - Informative,Management Confirmation,Compliance With Applicable Law,PDC(2),Management Confirmation(s),Event Based,Disbursement Date (2),,,,Medium,
Common Rupee Loan Agreement,4.2.19,"Preliminary and Pre-Operating Expenses Certificate
The Borrower shall have received a certificate from an independent and recognized firm of chartered accountants duly licensed to practice in India with respect to the audit of preliminary and pre-operating expenses incurred by the Borrower prior to the Financial Close",,Pre-Disbursement (CP),Financial,Financial - Informative,Certificate,CA Certificate,PDC(2),CA Certificate,Event Based,Disbursement Date (2),,,,Medium,
Common Rupee Loan Agreement,4.2.20,"Legal Proceedings, Events of Default or Material Adverse Effect
(i)	The Borrower shall have provided to the Lenders’ Agent and the Rupee Lenders, a certificate of an Authorised Officer of the Borrower confirming that: (a) there are no legal proceedings pending or threatened affecting the obligations of the Borrower or, to the best of the Borrower’s knowledge, of any other Material Project Participant under the Transaction Documents or Clearances required by Material Project Participants; and (b) there are no legal proceedings pending or threatened regarding the effectiveness or validity of any of the Clearances that have been obtained for the Project; 
(ii)	The Borrower shall certify that no event has occurred with respect to the Project, the Borrower or, to the best of the Borrower’s knowledge, the other Material Project Participants, which has or could have a Material Adverse Effect on the Borrower; 
(iii)	The Borrower shall certify that no event has occurred nor are there any breaches or delays of any nature whatsoever under any of the Project Documents which: (a) will delay the Scheduled Project Completion Date beyond the period specified in Article 12.4.3 of the Concession Agreement; or (b) will result in a Cost Overrun;
(iv)	The Borrower shall certify that the aggregate borrowings under the Financing Documents are within the borrowing powers of the Borrower under its constitutional documents and Applicable Law and not cause any limit binding on the Borrower in relation to such borrowings to be exceeded;
(v)	The Borrower shall certify that the Project and the Borrower are in compliance in all material respects with all Applicable Laws as in effect at the date of the certificate;
(vi)	The Borrower shall certify that it is in compliance with all provisions of the Transaction Documents; and
(vii)	The Borrower shall certify that the Material Project Participants have performed all of their respective obligations (required to be performed on the date of the certificate) in all respects under the Transaction Documents to which the Borrower is a party. ",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Management Confirmation,"Certificate by Authorized Officer, Applicable Laws, MAE Confirmation, No Litigation, Compliance With Applicable Law",PDC(2),Certificate from Authorized Officer,Event Based,Disbursement Date (2),,,,Medium,
Common Rupee Loan Agreement,4.3,"CONDITIONS PRECEDENT TO SECOND DRAWDOWN AND EACH SUBSEQUENT DRAWDOWN 
The obligation of any Rupee Lender to make any Disbursements (a) on the second Drawdown Date up to 25% (twenty five percent) of the amount of the Rupee Loans Facility under this Agreement and (b) on each subsequent Drawdown Date, shall be subject to fulfillment by the Borrower of all its obligations hereunder and further, that the Borrower shall, prior to such second Drawdown Date and each subsequent Drawdown Date, fulfill the following conditions in a manner satisfactory to the Lenders’ Agent/Rupee Lenders; provided that Clause 4.3.1 (Drawdown Notice), Clause 4.3.2 (Construction Progress Report), Clause 4.3.6 (Chartered Accountant’s Certification), Clause 4.3.8 (Requisite Permits, Authorizations and Consents) and Clause 4.3.9 (Equity Guarantee) shall not be conditions precedent to the Bank Guarantee Facility.",Disbursement (2-n),,,,,,,,,,,,,Medium,
Common Rupee Loan Agreement,4.3.1,"Drawdown Notice
The Borrower shall have delivered to each Rupee Lender a duly completed Drawdown Notice (including details of the costs to be financed by the relevant Drawdown and confirmation that the costs financed by the prior Drawdowns have been met, with such costs (in each case) certified by the Lenders’ Independent Engineer). ",,Pre-Disbursement (CP),Technical,Financial - Informative,Certificate,"End Use Certificate, Expert Report",PDC(2-n),"Any Other Certificate, Expert Report",Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,4.3.2,"Construction Progress Report
The Rupee Lenders shall have received from the Borrower and been satisfied with the Construction Progress Report as of the date of the Drawdown Notice confirmed by the Lenders’ Independent Engineer stating that construction of the Project is proceeding in accordance with the Project Construction Schedule, Banking Base Case and Construction Budget.",,Pre-Disbursement (CP),Technical,Non Financial - Informative,Reports,LIE Report,PDC(2-n),LIE Report,Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,4.3.3,"No Material Adverse Effect
The Borrower shall have provided evidence that no event shall have occurred and be continuing with respect to the Project, the Borrower or any Contractor which constitutes or may reasonably be expected to constitute or cause a Material Adverse Effect.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Management Confirmation,MAE Confirmation,PDC(2-n),Management Confirmation(s),Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,4.3.4,"No Event of Default
The Borrower shall confirm that no Event of Default or Potential Event of Default has occurred and is continuing.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Management Confirmation,No Default,PDC(2-n),Management Confirmation(s),Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,4.3.5,"Representations and Warranties
The Borrower shall have (i) provided a certificate issued by an Authorised Officer of the Borrower stating that all representations and warranties of the Borrower made in Article V shall be true, complete and correct in all respects where relevant, in each case, with the same force and effect as though each such representation and warranty were made in and as of the date of such certificate, (except for any representation and warranty which expressly related to an earlier date and is not surviving or is in respect of any Transaction Document which is no longer in effect) and (ii) ensured that the Sponsor has provided a certificate issued by an Authorized Officer of the Sponsor stating that all representations and warranties of the Sponsor made in relation to the Transaction Documents are true and correct in all respects with the same being in full force and effect as though such representations and warranties have been made on and as of the date of such certificate",,Pre-Disbursement (CP),Informative,Non Financial-Representation,Management Confirmation,Certificate by Authorized Officer,PDC(2-n),Certificate from Authorized Officer,Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,4.3.6,"Chartered Accountant’s Certification
The Borrower shall have furnished to the Rupee Lenders, a certificate from an independent and recognized firm of chartered accountants in respect of (i) expenditure incurred in respect of the Project, (ii) the source from which the Borrower obtained monies to make payment in respect of such expenditure and (iii) the required Equity Contributions having been received by the Borrower.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Certificate,End Use Certificate,PDC(2-n),CA Certificate,Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,4.3.7,"Requisite Permits, Authorizations and Consents
All permits, authorizations and consents required by the Borrower as on the date of a Drawdown Notice shall have been received by the Borrower and shall be in full force and effect.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Approvals,Approvals,PDC(2-n),Approvals,Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,4.3.8,"Equity Guarantee
The Security Trustee shall have received a copy of the Equity Guarantee, if applicable.",equity contribution-Financial,Pre-Disbursement (CP),Financial,Financial - Informative,Management Confirmation,Other Document,PDC(2-n),Official Documents,Event Based,Disbursement (2-n),,,,Medium,
Common Rupee Loan Agreement,5.2.1,"REPRESENTATIONS AND WARRANTIES 
5.1	In consideration of each of the Rupee Lenders entering into this Agreement and the other Financing Documents, the Borrower makes the following representations and warranties.                                                          CORPORATE STATUS
5.2.1	The Borrower is a duly incorporated and validly existing corporation under the laws of India and has the corporate power to own its assets, conduct its business as presently conducted and to enter into, and perform its obligations under the Transaction Documents and to transact the business in which it is engaged or proposes to be engaged and to do all things necessary or appropriate in respect of the Project.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Leally Incorporated,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.2.2,"The Borrower declares and confirms that the execution of the Financing Documents are duly authorised and upon execution by the Borrower will constitute valid, enforceable and legally binding obligations of the Borrower.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.2.3,The Borrower has power and authority to consummate the transactions contemplated by this Agreement and the other Transaction Documents to which it is a party. ,,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.3,"NO VIOLATION
The Borrower warrants that neither the execution nor the performance or delivery of this Agreement and the other Transaction Documents to which the Borrower is a party and neither the Borrower’s compliance with or performance of the terms and provisions hereof or thereof, nor the use of the proceeds of the Rupee Loans as contemplated herein, will:
(i)	contravene any provision of any Applicable Law or any order, writ, injunction, judgment or decree of any Court or Governmental Authority or other Governmental Authority binding on the Borrower; 
(ii)	conflict or be inconsistent with or result in a breach of any of the terms, covenants, conditions or provisions of, or constitute a default under or require any consent under any Clearance, indenture, agreement or other instrument to which the Borrower is a party or by which it is bound;
(iii)	result in the creation or imposition of or the obligation to create or impose any Security Interest upon any of the property or assets of the Borrower except for Permitted Security Interests; or
(iv)	violate any of the provisions of the Memorandum and Articles of Association of the Borrower. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.4.1,"CLEARANCES
5.4.1	The Borrower has, prior to or on the Agreement Date, obtained all Clearances required to be obtained under the Transaction Documents as of the Agreement Date and has complied with the conditions of such Clearances in connection with the execution, delivery and performance of this Agreement and the other Transaction Documents and the legality, validity, binding effect and enforceability hereof or thereof and no further Clearances or compliances are required in connection with the execution and delivery by the Borrower of any of the Transaction Documents to which the Borrower is a party or the legality, validity, binding effect or enforceability thereof.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Valid Approvals,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.4.2,The Borrower has obtained/caused to be obtained all Clearances as specified in Schedule IV and has complied with the conditions of such Clearances for the implementation of these except for those Clearances that are not required to be obtained or issued until a later stage in construction or operation of the Project and those conditions which are not required to be satisfied or met until a later stage in the construction and operation of the Project. ,,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Valid Approvals,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.5.1,"FINANCIAL CONDITION
5.5.1	The financial statements of the Borrower for every Financial Year since the date of its incorporation have been prepared in accordance with generally accepted Indian accounting principles consistently applied and present fairly the financial position of the Borrower at the date of such statements the result of the operations for the period covered thereby. No event, condition or circumstance (including without limitation an event of Force Majeure) has occurred which has had and continues to have or could reasonably be expected to constitute a Material Adverse Effect.",Is this also a certificate from authorised person?,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Book Keeping,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.5.2,"Except as reflected in the financial statements of the Borrower since the date of its incorporation that have been delivered pursuant to sub-clause 5.5.1 (Financial Condition) hereinabove or as expressly disclosed otherwise to the Rupee Lenders in writing as ‘off-balance sheet liabilities’ or in any other written communication to the Rupee Lenders, there is no liability or obligation with respect to the Borrower of any nature whatsoever (whether absolute, contingent, accrued or otherwise and whether or not due) for the period to which such financial statements relate. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Book Keeping,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.6,"ANNUAL BUDGETS AND BANKING BASE CASE
All budgets and projections including the Banking Base Case furnished or to be furnished to the Rupee Lenders by or on behalf of the Borrower and the significant assumptions related thereto: (i) have been and will be prepared in good faith and with due care; (ii) fairly and accurately, and will fairly and accurately, present the matters stated therein; (iii) are based on and will be based on, reasonable assumptions as to all factual and other matters stated therein; (iv) are and will be in all respects consistent with the provisions of the Transaction Documents; (v) will present, in all respects, the Borrower’s expectations as to the matters covered thereby as of such date, and (vi) are prepared on a basis consistent with the financial statements referred to in this Agreement. There are no statements, assumptions or conclusions in any of the projections or budgets which are based upon or include information known to the Borrower to be misleading or which fail to take into account information regarding the matters reported therein. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Book Keeping,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.7,"LEGAL PROCEEDINGS AND MATERIAL ADVERSE EFFECT 
5.7.1	No actions, suits or proceedings are pending or to the knowledge of the Borrower threatened with respect to the Borrower, the Project or any Transaction Document or the transaction contemplated thereby or affecting any Clearance, which could have a Material Adverse Effect.
5.7.2	There are no proceedings for the winding-up or reorganization of the Borrower pending or to the knowledge of the Borrower threatened.
5.7.3	There has not been initiated, nor is there pending nor are there any threatened legal proceedings against the Borrower or, to the best of the Borrower’s knowledge, any other Material Project Participant having or likely to have a Material Adverse Effect. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Litigation,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.8,"TRUE AND COMPLETE DISCLOSURE
All factual information furnished by or on behalf of the Borrower to the Rupee Lenders in connection with the sanction of the Rupee Loans, whether prior to the Agreement Date or contemporaneously with the execution of this Agreement and all factual information hereafter furnished, is and will be true, correct and complete in all material respects as on the date on which such information is dated or certified.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,True Information,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.9,"TAXES
The Borrower has paid all Taxes and other statutory dues required to be paid or which became due other than those, which have been waived or Contested in Good Faith and for which adequate reserves have been established. ",,Full Lifecycle,Financial,Non Financial-Representation,Representations & Warranties,Statutory Dues,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.10.1,"TRANSACTION DOCUMENTS
5.10.1	All Transaction Documents have been and will be duly executed and all representations and warranties of the Borrower set forth therein are and will be true, complete and correct in all respects at the time as of which such representations and warranties are made or deemed to be made.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.10.2,No event of default or potential event of default (howsoever described) has occurred or is continuing under any Transaction Document.,,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Default,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.10.3,"The services to be performed, the materials to be supplied and the easements, licenses and other rights granted or to be granted to the Borrower pursuant to the terms of the Transaction Documents provide, or will provide the Borrower with all rights and property interests required to enable the Borrower to obtain all services, materials or rights (including access) required for the design, construction, operation and maintenance of the Project, including the Borrower's full and prompt performance of its obligations, and full and timely satisfaction of all conditions precedent to the performance by others of their obligations, under the Transaction Documents, other than those services, materials or rights that reasonably can be expected to be obtained in the ordinary course of business without any additional expense or any delay",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Compliance,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.10.4,"Each of the Transaction Documents constitutes the legal, valid and binding obligations enforceable by and against the Borrower in accordance with its terms. No fees or Taxes, including without limitation, stamp, transaction, registration or similar taxes, are required to be paid (other than fees or Taxes which have already been paid) for the legality, validity, or enforceability of the Project Documents. The Transaction Documents are in proper legal form and are in full force and effect for the enforcement thereof without any further action on the part of any party thereto or successor to such party by way of assignment or otherwise. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.11.1 (a),"Capitalisation
(a)  	As on the Agreement Date,
(i)	the authorised capital of the Borrower consists of Rs. 20,00,00,000 (Rupees Twenty Crores Only) divided into 2,00,00,000 (Two Crores) Shares of Rs. 10 (Rupees Ten Only) each; 
(ii)	Rs. 9,09,14,000 (Rupees Nine Crore Nine Lakhs and Fourteen Thousand Only) divided into 90,91,400 (Ninety Lakhs and Ninety One Thousand Four Hundred) Shares of Rs. 10 (Rupees Ten Only) (and each of the Shares described in sub-clause (i) and this sub-clause (ii) have been issued by the Borrower); 
(iii)	90,83,099 (Ninety Lakhs and Eighty Three Thousand Ninety Nine) number of such Shares (representing 99.90% (Ninety Nine point Nine Zero percent) of such shares referred to in (ii) above) are owned by Sponsor; and 
(iv)	all the Shares are duly and validly issued and paid up. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Book Keeping,,Certificate from authorized officer,One Time,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.11.1 (b),"The Borrower does not have outstanding:
(i)	any indebtedness except Permitted Indebtedness;
(ii)	any securities convertible into or exchangeable for the Shares other than as permitted under the Financing Documents; or
(iii)	any rights to subscribe for, or to purchase, or any options for the purchase of, or any agreements, arrangements or understandings providing for the issuance (contingent or otherwise) of, or any calls, commitments or claims of any character relating to, its Shares other than as permitted under the Financing Documents .",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Compliance,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.11.2,The Borrower has not issued any securities or instruments which are convertible into or exchangeable for Equity or any right to subscribe for or options for purchase of any Equity (other than as permitted under the Financing Documents).,,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Compliance,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.12,"POWER OF ATTORNEY
Except as disclosed to, and, permitted by the Lenders’ Agent, the Borrower has not executed and delivered any powers of attorney or similar documents, instruments or agreements, except for those issued under the Security Documents and the powers authorizing signatures of the Transaction Documents. ",,Full Lifecycle,Legal,Non Financial-Representation,Representations & Warranties,Other Document,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.13,"CONCESSION AGREEMENT
5.13.1	The Concession Agreement is in full force and effect and no event of default has taken place there under. The Borrower is in compliance of its obligations under the Concession Agreement and has not committed any breach there under.
5.13.2	All action under Applicable Law has been taken to ensure that the Concession is binding and enforceable in accordance with the terms of the Concession Agreement to enable the Borrower to construct, operate and maintain the Project in accordance with the Concession Agreement.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Default,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.14,"SUBSIDIARIES
The Borrower has no subsidiaries and owns no equity interests in any other Person. ",,Full Lifecycle,Financial,Financial -Affirmative,Representations & Warranties,No Subsidiaries,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.15,"SINGLE PURPOSE COMPANY
The Borrower has not engaged in any business or trade or incurred any liabilities other than in connection with participation in transactions contemplated by the Transaction Documents. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Compliance,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.16,"INSURANCE
All Insurance Contracts have been placed in the manner required by the Transaction Documents and as provided in Schedule V and are in full force and no event or circumstances has occurred nor has there been any omission to disclose a fact which would entitle any insurer to avoid or otherwise reduce its liability thereunder.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Insurance,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.17,"SECURITY
5.17.1	The Borrower does not have any outstanding Security Interest or obligation to create any Security Interest on or with respect to any of its properties, revenues or assets, other than the Permitted Security Interests.
5.17.2	The Security Documents executed or to be executed constitute and will constitute legal, valid and enforceable Security Interests in favour of the Security Trustee on all the property, revenues and assets of the Borrower thereby secured, prior and superior to all other Security Interest and all necessary and appropriate consents to the creation, effectiveness, priority and enforcement of such Security have been or will be obtained.",,Full Lifecycle,Security,Non Financial-Representation,Representations & Warranties,Other Document,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.18,"MATERIAL CONTRACTS
	The Borrower has not entered into any material contracts other than those that have been disclosed in writing to the Rupee Lenders.",,Full Lifecycle,Legal,Non Financial-Representation,Representations & Warranties,Other Document,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.19,"COMPLIANCE WITH APPLICABLE LAW
The Borrower and all other Material Project Participants are in compliance in all respects with all Applicable Laws, governmental authorizations for the development, construction, ownership, operation and maintenance of the Project.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.2,"UTILITY SERVICES
All utility services for the construction, operation and maintenance of the Project including as necessary but not limited to water supply, storm, sanitary, sewerage and electricity for the Project are or will be, when needed, available to the Project and arrangements in respect thereof have been made and when needed will be made in the ordinary course without delay.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Valid Approvals,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.21,"CONCESSIONS AND OTHER RIGHTS
The Borrower has all concessions, trademarks, trade names, brand names, service marks, copyrights, patents or agreements with respect to the usage of technology or other permits that are necessary for the ownership, operation or maintenance of the Project (other than such concessions, trademarks, trade names, brand names, service marks, copyrights, patents or agreements with respect to the usage of technology or permits, the lack of which could not reasonably be expected to cause a Material Adverse Effect) (i) without any conflict with the rights of any other Person and (ii) without any obligation to pay royalties or fees therefore in amounts in excess of those contemplated in the Project Documents.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Ownership,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.22,"5.22	TITLE: SECURITY DOCUMENTS
(a)	The Borrower owns and has good and marketable title to its properties assets and revenues free and clear of all Security Interests other than Permitted Security Interests.
(b)	The Borrower is lawfully seized and possessed of valid and clear title to and in the property owned or used by it free and clear of all Security Interests other than Permitted Security Interests.
(c)	The provisions of the Security Documents are/ and will be effective to create in favour of the Rupee Lenders, in accordance with Applicable Law, a legal, valid and enforceable Security Interest on or in all of the properties and assets of the Borrower and all necessary and appropriate recordings and filings have been / will be made in all necessary and appropriate public offices, and all other necessary and appropriate action has been / will be taken, so that the Security Interest created in favour of the Rupee Lenders by each Security Document constitutes or will constitute a perfected first ranking pari passu charge on and in all right, title and interest of the Borrower in and to the properties and assets of the Borrower, prior and superior to all other Security Interests. ",,Full Lifecycle,Security,Non Financial-Representation,Representations & Warranties,Clear Title,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.23,"NO CLAIM FROM THE CONSTRUCTION CONTRACTORS	
The Borrower confirms that it has not received any communication from the Construction Contractors claiming or demanding additional costs, charges or monies under any head whatsoever under the Construction Contracts.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Demand,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.24,"RELIANCE
The Borrower warrants that each of the representations in Article 5 (Representations and Warranties) are true and correct in all respects as of the Agreement Date and that none of them omit to state any matter which makes any of such representations misleading in any respect.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.25,"PRIORITY
The Borrower’s obligations to the Rupee Lenders under this Agreement and the other Financing Documents will constitute its direct, unconditional, unsubordinated and secured obligation and will rank pari- passu inter se.",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Priority,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.26,"NO INDEBTEDNESS
Except the Permitted Indebtedness, the Borrower has not / shall not incur or suffer any additional Debt. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Compliance,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.27,"NO IMMUNITY 
The execution and entering into by the Borrower of the Transaction Documents constitutes, and the Borrower’s exercise of its rights and performance of obligations under the Transaction Documents, will constitute a private commercial act done and performed for private and commercial purpose. The Borrower is not permitted under Applicable Law to claim any immunity from any contract, suit, or jurisdiction of any court, from attachment prior to judgment, from attachment in aid of execution of judgment. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Applicable Laws,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.28,"SURVIVAL
The representations and warranties set out in this Article 5 (Representations and Warranties) are made by the Borrower on the Agreement Date and (other than those made as of a particular date) shall be deemed to be repeated by the Borrower on each Drawdown Date and Interest Payment Date with reference to the facts and circumstances then existing. ",is this a covenant?,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,Survival,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.29,"REGISTRATION AND FILING
Except for filing the Finance Documents with NHAI, filing and registration of the appropriate Security Documents relating to the creation of the mortgage with the Registrar / Sub-Registrar of Assurances, and filing of Forms for registration of charges under Section 125 of the Companies Act, 1956 in relation to the Security created, it is not required that any Transaction Documents be filed, registered, recorded or enrolled with any other Government Authority.",,Full Lifecycle,Security,Non Financial-Representation,Representations & Warranties,Security Related,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.3,"INSOLVENCY
The Borrower has not taken any corporate action and no other steps have been taken or legal proceedings have been started or received any notice for any legal proceedings against it for its winding-up, dissolution, administration or reorganisation or for the appointment of a receiver, administrator, administrative receiver, trustee or similar officer of it or of any or all of its assets or revenues. ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Litigation,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
Common Rupee Loan Agreement,5.31,"NO DEFAULT
(a)	No default is outstanding or might result from any borrowing under this Agreement. 
(b)	To the best of the Borrower’s knowledge, no other event or circumstance is outstanding which constitutes a default, or with the giving of notice, lapse of time, determination of materiality or the fulfillment of any other applicable condition or any combination of the foregoing, might constitute a default, under any document which is binding on the Borrower or any asset of the Borrower or any Project Proceeds (other than Disbursements to be made by the Rupee Lenders) or other financial assistance from banks and financial institutions by way of working capital and cash credit.
(c)	The Borrower is not in breach of the terms of any Transaction Document to which it is a party that is likely to have a Material Adverse Effect.  ",,Full Lifecycle,Informative,Non Financial-Representation,Representations & Warranties,No Default,,Certificate from authorized officer,Quarterly,Document Execution Date,,,,Medium,
